Unnamed: 0,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Temperature_C
174,Assam,BAKSA,2010,Kharif     ,Small millets,250.0,112.0,26.8
175,Assam,BAKSA,2010,Rabi       ,Arecanut,2500.0,2411.0,28.3
176,Assam,BAKSA,2010,Rabi       ,Banana,680.0,9956.0,25.9
177,Assam,BAKSA,2010,Rabi       ,Gram,45.0,20.0,20.7
178,Assam,BAKSA,2010,Rabi       ,Linseed,680.0,402.0,20.8
179,Assam,BAKSA,2010,Rabi       ,Masoor,2045.0,532.0,27.2
180,Assam,BAKSA,2010,Rabi       ,Moong(Green Gram),259.0,110.0,23.8
181,Assam,BAKSA,2010,Rabi       ,Peas & beans (Pulses),1044.0,818.0,26.2
182,Assam,BAKSA,2010,Rabi       ,Rapeseed &Mustard,9500.0,3467.0,23.4
183,Assam,BAKSA,2010,Rabi       ,Urad,1615.0,817.0,28.6
184,Assam,BAKSA,2010,Rabi       ,Wheat,868.0,1276.0,25.7
185,Assam,BAKSA,2010,Summer     ,Rice,6000.0,13150.0,24.0
186,Assam,BAKSA,2010,Whole Year ,Banana,680.0,9956.0,22.8
187,Assam,BAKSA,2010,Whole Year ,Black pepper,85.0,147.0,23.7
188,Assam,BAKSA,2010,Whole Year ,Coconut ,1050.0,9634000.0,26.8
189,Assam,BAKSA,2010,Whole Year ,Dry chillies,690.0,395.0,25.9
190,Assam,BAKSA,2010,Whole Year ,Dry ginger,465.0,3219.0,24.6
191,Assam,BAKSA,2010,Whole Year ,Onion,201.0,201.0,22.6
192,Assam,BAKSA,2010,Whole Year ,Potato,3750.0,25359.0,23.0
193,Assam,BAKSA,2010,Whole Year ,Sugarcane,349.0,8202.0,22.7
194,Assam,BAKSA,2010,Whole Year ,Sweet potato,116.0,653.0,29.7
195,Assam,BAKSA,2010,Whole Year ,Tapioca,210.0,1481.0,26.2
196,Assam,BAKSA,2010,Whole Year ,Tobacco,84.0,37.0,24.1
197,Assam,BAKSA,2010,Whole Year ,Turmeric,700.0,648.0,26.6
198,Assam,BAKSA,2010,Winter     ,Rice,84168.0,134217.0,20.8
199,Assam,BAKSA,2011,Autumn     ,Paddy,10325.0,14340.0,28.2
200,Assam,BAKSA,2011,Autumn     ,Rice,10325.0,14340.0,20.7
201,Assam,BAKSA,2011,Kharif     ,Arhar/Tur,235.0,167.0,23.7
202,Assam,BAKSA,2011,Kharif     ,Castor seed,31.0,19.0,21.2
203,Assam,BAKSA,2011,Kharif     ,Cotton(lint),9.0,4.0,26.4
204,Assam,BAKSA,2011,Kharif     ,Jute,848.0,6365.0,26.9
205,Assam,BAKSA,2011,Kharif     ,Maize,555.0,472.0,27.5
206,Assam,BAKSA,2011,Kharif     ,Mesta,103.0,1065.0,28.6
207,Assam,BAKSA,2011,Kharif     ,Niger seed,493.0,261.0,26.7
208,Assam,BAKSA,2011,Kharif     ,Orange,280.0,2686.0,22.8
209,Assam,BAKSA,2011,Kharif     ,Papaya,301.0,5714.0,26.4
210,Assam,BAKSA,2011,Kharif     ,Sesamum,443.0,277.0,27.8
211,Assam,BAKSA,2011,Kharif     ,Small millets,264.0,128.0,21.3
